"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"Barry White","Hayden","F","6","Brock","350.56281","paid","Detroit-Warren-Dearborn, MI","117","Come On","72"
"John Prine","Tegan","F","52","Levine","136.09751","paid","Portland-South Portland, ME","342","He Was In Heaven Before He Died (LP Version)","80"
"Bright Eyes","Tegan","F","53","Levine","375.95383","paid","Portland-South Portland, ME","342","I Must Belong Somewhere","80"
"Justin Bieber","Hayden","F","7","Brock","191.55546","paid","Detroit-Warren-Dearborn, MI","117","Love Me","72"
"Darude","Hayden","F","8","Brock","226.08934","paid","Detroit-Warren-Dearborn, MI","117","Sandstorm","72"
"Evanescence","Hayden","F","9","Brock","262.79138","paid","Detroit-Warren-Dearborn, MI","117","My Immortal","72"
"Harmonia","Hayden","F","10","Brock","655.77751","paid","Detroit-Warren-Dearborn, MI","117","Sehr kosmisch","72"
"O.G.C.","Hayden","F","11","Brock","290.66404","paid","Detroit-Warren-Dearborn, MI","117","Gunn Clapp","72"
"Mc Chris","Hayden","F","12","Brock","179.51302","paid","Detroit-Warren-Dearborn, MI","117","hoodie ninja","72"
"Marilyn Manson","Hayden","F","13","Brock","175.77751","paid","Detroit-Warren-Dearborn, MI","117","The Fight Song","72"
"Red Hot Chili Peppers","Hayden","F","14","Brock","334.65424","paid","Detroit-Warren-Dearborn, MI","117","Snow [Hey Oh] (Album Version)","72"
"dEUS","Hayden","F","15","Brock","299.83302","paid","Detroit-Warren-Dearborn, MI","117","Secret Hell","72"
"Sean Paul","Hayden","F","16","Brock","183.45751","paid","Detroit-Warren-Dearborn, MI","117","Watch Them Roll","72"
"These United States","Hayden","F","17","Brock","207.38567","paid","Detroit-Warren-Dearborn, MI","117","Heaven Can Wait","72"
"Tamia","Hayden","F","18","Brock","327.54893","paid","Detroit-Warren-Dearborn, MI","117","Careless Whisper","72"
"Lil Scrappy","Hayden","F","19","Brock","238.78485","paid","Detroit-Warren-Dearborn, MI","117","Like Me (Amended Version)","72"
"AlizÃÂ©e","Stefany","F","0","White","266.1873","free","Lubbock, TX","375","Moi... Lolita","83"
"Dragonforce","Hayden","F","20","Brock","441.02485","paid","Detroit-Warren-Dearborn, MI","117","Through The Fire And Flames (Album Version)","72"
"Mobb Deep","Stefany","F","1","White","185.80853","free","Lubbock, TX","375","Backstage Pass","83"
"Slipknot","Anabelle","F","1","Simpson","254.11873","free","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","264","Everything Ends (Album Version)","69"
"Bohren & Der Club Of Gore","Stefany","F","2","White","491.38893","free","Lubbock, TX","375","Schwarze Biene (Black Maja)","83"
"Marc Almond","Hayden","F","21","Brock","228.44036","paid","Detroit-Warren-Dearborn, MI","117","The Sea Still Sings","72"
"Delirious?","Anabelle","F","2","Simpson","250.95791","free","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","264","Paint The Town Red","69"
"Red Hot Chili Peppers","Wyatt","M","0","Scott","265.50812","free","Eureka-Arcata-Fortuna, CA","335","Under The Bridge (Album Version)","9"
"Bon Iver","Hayden","F","22","Brock","329.24689","paid","Detroit-Warren-Dearborn, MI","117","Blindsided","72"
"California Swag District","Anabelle","F","3","Simpson","239.17669","free","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","264","Teach Me How To Dougie","69"
"Klaus Badelt","Stefany","F","3","White","136.07138","free","Lubbock, TX","375","The Black Pearl","83"
"Yeah Yeah Yeahs","Hayden","F","23","Brock","187.19302","paid","Detroit-Warren-Dearborn, MI","117","Gold Lion","72"
"Basshunter","Stefany","F","5","White","190.30159","free","Lubbock, TX","375","Patrik och Lillen - Vifta med hÃÂ¤nderna (basshunter remix)","83"
"Cocteau Twins","Hayden","F","24","Brock","271.85587","paid","Detroit-Warren-Dearborn, MI","117","My Truth","72"
"Usher featuring will.i.am","Stefany","F","6","White","395.72853","free","Lubbock, TX","375","OMG","83"
"Faith No More","Hayden","F","25","Brock","249.86077","paid","Detroit-Warren-Dearborn, MI","117","Last Cup Of Sorrow","72"
"The Champs","Stefany","F","7","White","132.0224","free","Lubbock, TX","375","Tequila","83"
"Disturbed","Hayden","F","26","Brock","200.61995","paid","Detroit-Warren-Dearborn, MI","117","Guarded (Album Version)","72"
"Don Omar","Hayden","F","27","Brock","204.9824","paid","Detroit-Warren-Dearborn, MI","117","Dile","72"
"Alison Krauss / Union Station","Hayden","F","28","Brock","190.45832","paid","Detroit-Warren-Dearborn, MI","117","The Lucky One","72"
"Covenant","Hayden","F","29","Brock","300.19873","paid","Detroit-Warren-Dearborn, MI","117","XRDS","72"
"The White Stripes","Hayden","F","30","Brock","231.81016","paid","Detroit-Warren-Dearborn, MI","117","Seven Nation Army (Album Version)","72"
"Carter USM","Hayden","F","31","Brock","109.08689","paid","Detroit-Warren-Dearborn, MI","117","As You Are Leaving The Building","72"
"Nacho Cano","Hayden","F","32","Brock","195.21261","paid","Detroit-Warren-Dearborn, MI","117","El Dolor Del Agua","72"
"The Rumble Strips","Hayden","F","33","Brock","163.52608","paid","Detroit-Warren-Dearborn, MI","117","No Soul","72"
"Jamie T","Hayden","F","34","Brock","259.65669","paid","Detroit-Warren-Dearborn, MI","117","Sheila (Explicit)","72"
"Jimmy Eat World","Hayden","F","35","Brock","242.93832","paid","Detroit-Warren-Dearborn, MI","117","Clarity","72"
"Jose Gonzalez","Hayden","F","36","Brock","237.53098","paid","Detroit-Warren-Dearborn, MI","117","Cycling Trivialities","72"
"Train","Hayden","F","37","Brock","216.76363","paid","Detroit-Warren-Dearborn, MI","117","Hey_ Soul Sister","72"
"California Swag District","Hayden","F","38","Brock","239.17669","paid","Detroit-Warren-Dearborn, MI","117","Teach Me How To Dougie","72"
"Cake","Ryan","M","0","Smith","319.18975","free","San Jose-Sunnyvale-Santa Clara, CA","356","Jolene","26"
"Fabolous","Ryan","M","1","Smith","306.442","free","San Jose-Sunnyvale-Santa Clara, CA","356","Can't Deny It [featuring Nate Dogg] [Explicit Version]","26"
"Crosby_ Stills & Nash","Ayla","F","0","Johnson","159.11138","free","Santa Rosa, CA","330","Marrakesh Express  (LP Version)","63"
"Violent Femmes","Ayla","F","1","Johnson","284.3424","free","Santa Rosa, CA","330","Add It Up","63"
"Calle 13","Ayla","F","2","Johnson","228.72771","free","Santa Rosa, CA","330","Sin Coro","63"
"Radars to the Sky","Jacqueline","F","3","Lynch","216.16281","paid","Atlanta-Sandy Springs-Roswell, GA","372","Victoria","29"
"The Lonely Island","Jacqueline","F","4","Lynch","174.15791","paid","Atlanta-Sandy Springs-Roswell, GA","372","Incredibad","29"
"Skint & Demoralised","Jacqueline","F","7","Lynch","245.7073","paid","Atlanta-Sandy Springs-Roswell, GA","372","Three More Days","29"
"Faith No More","Jacqueline","F","8","Lynch","158.9024","paid","Atlanta-Sandy Springs-Roswell, GA","372","What A Day","29"
"Eagles Of Death Metal","Jacqueline","F","9","Lynch","169.74322","paid","Atlanta-Sandy Springs-Roswell, GA","372","Speaking In Tongues","29"
"Metallica","Sienna","F","0","Colon","415.16363","free","Las Cruces, NM","317","Fade To Black","81"
"Angels and Airwaves","Jacqueline","F","10","Lynch","302.05342","paid","Atlanta-Sandy Springs-Roswell, GA","372","The Gift","29"
"Woven Hand","Jacqueline","F","11","Lynch","210.83383","paid","Atlanta-Sandy Springs-Roswell, GA","372","Swedish Purse","29"
"The Decemberists","Jacqueline","F","12","Lynch","242.59873","paid","Atlanta-Sandy Springs-Roswell, GA","372","Everything I Try to Do_ Nothing Seems to Turn Out Right","29"
"Looptroop","Jacqueline","F","13","Lynch","319.32036","paid","Atlanta-Sandy Springs-Roswell, GA","372","Long Arm Of The Law","29"
"Cheb Mami - K-Maro","Kevin","M","0","Arellano","191.73832","free","Harrisburg-Carlisle, PA","370","Nos Couleurs (Feat K Maro)","66"
"Tab Benoit","Matthew","M","0","Jones","221.09995","free","Janesville-Beloit, WI","178","Jambalaya","36"
"Kim Carnes","Jacqueline","F","14","Lynch","223.242","paid","Atlanta-Sandy Springs-Roswell, GA","372","Bette Davis Eyes","29"
"Clutch","Matthew","M","1","Jones","358.53016","free","Janesville-Beloit, WI","178","Drink To The Dead (LP Version)","36"
"Justice","Jacqueline","F","15","Lynch","285.41342","paid","Atlanta-Sandy Springs-Roswell, GA","372","Phantom Part 1.5 (Album Version)","29"
"Fall Out Boy","Matthew","M","6","Jones","181.36771","free","Janesville-Beloit, WI","178","Dance_ Dance","36"
"Vienna Teng","Jacqueline","F","16","Lynch","263.78404","paid","Atlanta-Sandy Springs-Roswell, GA","372","Harbor","29"
"Fat Joe","Matthew","M","7","Jones","317.09995","free","Janesville-Beloit, WI","178","Story To Tell","36"
"Muse","Jacqueline","F","17","Lynch","209.34485","paid","Atlanta-Sandy Springs-Roswell, GA","372","Supermassive Black Hole (Album Version)","29"
"The Smiths","Jacqueline","F","18","Lynch","196.67546","paid","Atlanta-Sandy Springs-Roswell, GA","372","The Boy With The Thorn In His Side","29"
"Beach House","Jayden","M","0","Fox","265.1424","free","New Orleans-Metairie, LA","383","Heart of Chambers","101"
"Galactic","Jayden","M","1","Fox","128.39138","free","New Orleans-Metairie, LA","383","Wild Man (featuring Big Chief Bo Dollis)","101"
"Static-X","Adelyn","F","0","Jordan","183.69261","free","Chicago-Naperville-Elgin, IL-IN-WI","6","Dirthouse (Album Version)","7"
"Pulp","Matthew","M","1","Jones","244.08771","free","Janesville-Beloit, WI","388","Babies","36"
"K-OS","Ryan","M","0","Smith","211.33016","free","San Jose-Sunnyvale-Santa Clara, CA","382","EMCEE Murdah","26"
"Oleta Adams","Molly","F","0","Taylor","281.93914","free","St. Louis, MO-IL","290","My Heart Won't Lie","35"
"Afromental","Tegan","F","1","Levine","196.20526","paid","Portland-South Portland, ME","376","Bootycall","80"
"NOFX","Ryan","M","0","Smith","65.04444","free","San Jose-Sunnyvale-Santa Clara, CA","394","Benny Got Blowed Up","26"
"Girl Talk","Tegan","F","2","Levine","173.24363","paid","Portland-South Portland, ME","376","Give and Go","80"
"Scars On Broadway","Tegan","F","3","Levine","175.46404","paid","Portland-South Portland, ME","376","Funny","80"
"Wilco","Tegan","F","4","Levine","363.96363","paid","Portland-South Portland, ME","376","I Am Trying to Break Your Heart","80"
"Hawk Nelson","Tegan","F","5","Levine","174.81098","paid","Portland-South Portland, ME","376","California","80"
"DAVE MATTHEWS BAND","Tegan","F","6","Levine","341.26322","paid","Portland-South Portland, ME","376","So Much To Say","80"
"System of a Down","Tegan","F","7","Levine","169.89995","paid","Portland-South Portland, ME","376","Lonely Day","80"
"McFly","Tegan","F","8","Levine","267.62404","paid","Portland-South Portland, ME","376","Falling In Love","80"
"Death In Vegas","Tegan","F","9","Levine","270.23628","paid","Portland-South Portland, ME","376","Girls","80"
"Silverchair","Bronson","M","0","Harris","257.72363","free","Eugene, OR","358","Straight Lines","33"
"Sean Kingston and Justin Bieber","Carlos","M","1","Carter","201.9522","free","Miami-Fort Lauderdale-West Palm Beach, FL","292","Eenie Meenie","27"
"AndrÃÂ©s Cepeda","Rylan","M","1","George","203.96363","free","Birmingham-Hoover, AL","393","CÃÂ³mo Puede Ser","16"
"Irish Tenors","Rylan","M","2","George","187.48036","free","Birmingham-Hoover, AL","393","Danny Boy","16"
"Justin Bieber","Rylan","M","3","George","212.53179","free","Birmingham-Hoover, AL","393","Runaway Love","16"
"Jonny L","Harper","M","0","Barrett","401.52771","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Microdaze","42"
"Rokia TraorÃÂ©","Stefany","F","0","White","274.88608","free","Lubbock, TX","693","Zen","83"
"Camila","Tucker","M","1","Garrison","230.81751","free","Oxnard-Thousand Oaks-Ventura, CA","555","Abrazame  (Version Acustica)","40"
"Carl Thomas","Tucker","M","0","Garrison","196.67546","free","Oxnard-Thousand Oaks-Ventura, CA","698","You Ain't Right (Album Version)","40"
"N.E.R.D.","James","M","0","Martin","242.99057","free","Dallas-Fort Worth-Arlington, TX","78","Provider (Remix Radio Edit)","79"
"Lil Jon / The East Side Boyz / DJ Flexx","Jacqueline","F","3","Lynch","285.30893","paid","Atlanta-Sandy Springs-Roswell, GA","589","Aww Skeet Skeet","29"
"Enya","Jacqueline","F","4","Lynch","175.85587","paid","Atlanta-Sandy Springs-Roswell, GA","589","The Sun In The Stream","29"
"Furthermore","Jacqueline","F","5","Lynch","278.41261","paid","Atlanta-Sandy Springs-Roswell, GA","589","We Need To Talk (She And I Album Version)","29"
"Kid Cudi / MGMT / Ratatat","Jacqueline","F","6","Lynch","295.67955","paid","Atlanta-Sandy Springs-Roswell, GA","589","Pursuit Of Happiness (nightmare)","29"
"Crosby_ Stills & Nash","Jacqueline","F","7","Lynch","186.90567","paid","Atlanta-Sandy Springs-Roswell, GA","589","Haven't We Lost Enough?  (LP Version)","29"
"Passion Pit","Jacqueline","F","8","Lynch","174.75873","paid","Atlanta-Sandy Springs-Roswell, GA","589","Sleepyhead","29"
"Keith Sweat","Jacqueline","F","9","Lynch","295.78404","paid","Atlanta-Sandy Springs-Roswell, GA","589","Merry Go Round (Remastered Single Version)","29"
"Mariza","Molly","F","1","Taylor","166.5824","free","St. Louis, MO-IL","634","Rosa Branca","35"
"In Flames","Jacqueline","F","10","Lynch","202.84036","paid","Atlanta-Sandy Springs-Roswell, GA","589","Like you better dead","29"
"Cute Is What We Aim For","Molly","F","2","Taylor","211.33016","free","St. Louis, MO-IL","634","Newport Living (Album Version)","35"
"The All-American Rejects","Jacqueline","F","11","Lynch","245.02812","paid","Atlanta-Sandy Springs-Roswell, GA","589","Too Far Gone","29"
"Cam'Ron / Juelz Santana / Un Kasa","Molly","F","3","Taylor","228.38812","free","St. Louis, MO-IL","634","Take Em To Church","35"
"Sick Puppies","Jacqueline","F","12","Lynch","227.83955","paid","Atlanta-Sandy Springs-Roswell, GA","589","Don't Walk Away","29"
"Rapsusklei","Jacqueline","F","13","Lynch","263.96689","paid","Atlanta-Sandy Springs-Roswell, GA","589","Nube Inerte (con Aniki)","29"
"Jonezetta","Jacqueline","F","14","Lynch","35.63057","paid","Atlanta-Sandy Springs-Roswell, GA","589","Untitled","29"
"Cut Copy","Jacqueline","F","15","Lynch","237.50485","paid","Atlanta-Sandy Springs-Roswell, GA","589","A Dream","29"
"BeyoncÃÂ©","Jacqueline","F","16","Lynch","261.74649","paid","Atlanta-Sandy Springs-Roswell, GA","589","Halo","29"
"Easy Star All-Stars","Jacqueline","F","17","Lynch","198.94812","paid","Atlanta-Sandy Springs-Roswell, GA","589","Getting Better (feat. The Mighty Diamonds)","29"
"Blue Man Group","Jacqueline","F","18","Lynch","205.76608","paid","Atlanta-Sandy Springs-Roswell, GA","589","Sing Along [Featuring Dave Matthews]","29"
"Carpark North","Jacqueline","F","19","Lynch","279.2224","paid","Atlanta-Sandy Springs-Roswell, GA","589","Run","29"
"The Fleetwoods","Jacqueline","F","20","Lynch","146.05016","paid","Atlanta-Sandy Springs-Roswell, GA","589","Come Softly To Me","29"
"Radiohead","Jacqueline","F","21","Lynch","298.13506","paid","Atlanta-Sandy Springs-Roswell, GA","589","Let Down","29"
"Gorillaz","Jacqueline","F","22","Lynch","268.45995","paid","Atlanta-Sandy Springs-Roswell, GA","589","Demon Days","29"
"Reginald Dixon","Jacqueline","F","23","Lynch","188.55138","paid","Atlanta-Sandy Springs-Roswell, GA","589","Eton Boating Song/Wyoming Lullaby/The Wiffenpoof Song (Baa Baa Baa) (Medley)","29"
"Gorillaz","Jacqueline","F","24","Lynch","152.13669","paid","Atlanta-Sandy Springs-Roswell, GA","589","Pirate Jet","29"
"OceanLab","Jacqueline","F","25","Lynch","440.842","paid","Atlanta-Sandy Springs-Roswell, GA","589","Clear Blue Water","29"
"Macy Gray","Jacqueline","F","26","Lynch","236.09424","paid","Atlanta-Sandy Springs-Roswell, GA","589","Oh Yeah","29"
"David Bowie","Samuel","M","0","Gonzalez","174.41914","free","Houston-The Woodlands-Sugar Land, TX","690","Sorrow (1997 Digital Remaster)","61"
"Tavares","Jacqueline","F","27","Lynch","374.09914","paid","Atlanta-Sandy Springs-Roswell, GA","589","Don't Take Away The Music","29"
"The String Cheese Incident","Samuel","M","1","Gonzalez","392.35873","free","Houston-The Woodlands-Sugar Land, TX","690","Bigger Isn't Better","61"
"Pixies","Chloe","F","0","Roth","113.78893","free","Indianapolis-Carmel-Anderson, IN","511","Break My Body","78"
"Meet Me In St Louis","Jacqueline","F","28","Lynch","275.27791","paid","Atlanta-Sandy Springs-Roswell, GA","589","I've Got Knives In My Eyes I'm Going Home Sick","29"
"Syd Barrett","Jacqueline","F","29","Lynch","114.65098","paid","Atlanta-Sandy Springs-Roswell, GA","589","Effervescing Elephant","29"
"Cat Stevens","Jacqueline","F","30","Lynch","167.6273","paid","Atlanta-Sandy Springs-Roswell, GA","589","If You Want To Sing Out_ Sing Out","29"
"Cosmic Gate","Kaylee","F","0","Summers","652.59057","free","Phoenix-Mesa-Scottsdale, AZ","675","I Feel Wonderful (AM to PM Mix)","8"
"Spoon","Jacqueline","F","31","Lynch","224.73098","paid","Atlanta-Sandy Springs-Roswell, GA","589","Who Makes Your Money","29"
"The Dodos","Jacqueline","F","32","Lynch","282.53995","paid","Atlanta-Sandy Springs-Roswell, GA","589","Fools","29"
"Cartola","Jacqueline","F","33","Lynch","127.242","paid","Atlanta-Sandy Springs-Roswell, GA","589","Tive Sim","29"
"Supertramp","Jacqueline","F","34","Lynch","264.38485","paid","Atlanta-Sandy Springs-Roswell, GA","589","It's Raining Again","29"
"The Ruts","Jacqueline","F","35","Lynch","338.96444","paid","Atlanta-Sandy Springs-Roswell, GA","589","West One (Shine On Me)","29"
"Marisa Monte","Jacqueline","F","36","Lynch","157.98812","paid","Atlanta-Sandy Springs-Roswell, GA","589","Abololo","29"
"Smile Empty Soul","Jacqueline","F","37","Lynch","218.61832","paid","Atlanta-Sandy Springs-Roswell, GA","589","Bottom of a Bottle (Explicit Album Version)","29"
"M83","Jacqueline","F","38","Lynch","251.79383","paid","Atlanta-Sandy Springs-Roswell, GA","589","Unrecorded","29"
"Beats Antique","Jacqueline","F","39","Lynch","185.46893","paid","Atlanta-Sandy Springs-Roswell, GA","589","Roustabout (Bassnectar REMIX)","29"
"Why?","Jacqueline","F","40","Lynch","246.07302","paid","Atlanta-Sandy Springs-Roswell, GA","589","The Vowels Pt. 2","29"
"Chris Clark","Jacqueline","F","41","Lynch","162.11546","paid","Atlanta-Sandy Springs-Roswell, GA","589","From Head To Toe","29"
"The Concretes","Jacqueline","F","42","Lynch","195.082","paid","Atlanta-Sandy Springs-Roswell, GA","589","On The Radio (Edit)","29"
"BeyoncÃÂ©","Jacqueline","F","43","Lynch","261.74649","paid","Atlanta-Sandy Springs-Roswell, GA","589","Halo","29"
"Enya","Jacqueline","F","44","Lynch","218.53995","paid","Atlanta-Sandy Springs-Roswell, GA","589","Only Time (Original Version)","29"
"CÃÂ©line Dion","Jacqueline","F","45","Lynch","219.37587","paid","Atlanta-Sandy Springs-Roswell, GA","589","Ne me plaignez pas","29"
"Rise Against","Jacqueline","F","46","Lynch","245.96853","paid","Atlanta-Sandy Springs-Roswell, GA","589","Audience Of One","29"
"Kaiser Chiefs","Jacqueline","F","47","Lynch","203.07546","paid","Atlanta-Sandy Springs-Roswell, GA","589","Ruby","29"
"Jag Panzer","Jacqueline","F","48","Lynch","217.99138","paid","Atlanta-Sandy Springs-Roswell, GA","589","Reign Of The Tyrants","29"
"My Chemical Romance","Jacqueline","F","49","Lynch","203.41506","paid","Atlanta-Sandy Springs-Roswell, GA","589","The Ghost Of You (Album Version)","29"
"Zeromancer","Jacqueline","F","50","Lynch","360.85506","paid","Atlanta-Sandy Springs-Roswell, GA","589","Cupola","29"
